source_name,article_count,suggested_outlet_slug,confidence,notes
The Guardian US,3413,the-guardian,curated,"Guardian's US edition feed. Dossier name is 'The Guardian'."
The Guardian World,473,the-guardian,curated,"Guardian's world feed. Same masthead."
New York Times,4368,the-new-york-times,curated,"Feed drops the leading 'The'; the dossier keeps it."
Washington Post,1821,the-washington-post,curated,"Feed drops the leading 'The'; the dossier keeps it."
Bloomberg,14035,bloomberg,curated,"Dossier name is 'Bloomberg News'."
BBC,3753,bbc-news,curated,"Dossier name is 'BBC News'."
BBC World,1533,bbc-news,curated,"Same newsroom — serves from bbc.co.uk/news/articles like the BBC feed. 942 world + 145 politics. BBC *Sport* is deliberately NOT mapped: it serves from bbc.co.uk/sport, is 4,642 sports articles, and the cbs-news/cbs-sports split is the precedent for giving a sports vertical its own dossier or none."
The Hill Politics,4552,the-hill,curated,"Section feed of The Hill, which already resolves by name."
Politico EU,779,politico,curated,"Politico's European edition. Same masthead and AllSides rating."
Politico Congress,753,politico,curated,"Section feed."
NPR World,513,npr,curated,"Section feed."
NPR Health,186,npr,curated,"Section feed."
Reuters World,39,reuters,curated,"Section feed."
Reuters Business,16,reuters,curated,"Section feed."
STAT News,1353,stat-news,curated,"Dossier slug is stat-news; feed name matches on substring only."
